Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Byju’s,2011.0,Bangalore,Education And Learning,An Indian educational technology and online tutoring firm,Byju Raveendran,"Owl Ventures, Tiger Global Management",500000000.0,Series I,2020
ConnectedH,2016.0,Gurgaon,Healthcare And Health Technology,The company’s vision is simple – Connected Healthcare.,"Shubham Gupta, Suresh Singh",Sequoia Capital India,4000000.0,Bridge,2020
Reliance Retail,2006.0,Mumbai,E-Commerce And Retail,"Retailer delivering superior value to its customers, suppliers and shareholders.",Mukesh Ambani,Silver Lake Partners,10220000.0,Bridge,2020
QShala,2014.0,Bangalore,Education And Learning,A platform that helps kids learn about life skills,"Sachin Ravi, Raghav Chakravarthy",Sequoia Capital India,300000.0,Series B,2020
Pitstop,2015.0,Bangalore,Technology And Software,"Pitstop owns and operates a network of garages that provides car repair, detailing",Mihir Mohan Mishra,"Clairvest Group, Ontario Centres of Excellence",1020000.0,Series D1,2020
Zomato,2008.0,Haryana,Consumer Goods And Services,Get online food delivery from restaurants near you,"Deepinder Goyal, Pankaj Chaddah","MacRitchie Investments, Baillie Gifford",100000000.0,Seed,2020
Customfit ai,2019.0,Bangalore,Technology And Software,Operates on a SaaS model by providing a hyper-personalised website to users.,"Ashwin Kumar, Shoaib Mohammed",SucSEED Indovation Fund,4000000.0,Series H,2020
Hire Me Car,2015.0,Noida,Transport,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,Anmol Singh Jaggi,US based NRI Investors,4000000.0,Seed,2020
Oga Fit,2017.0,Bangalore,Technology And Software,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,Ashish Rawat,"Inflection Point Ventures, Mitesh Shah",4000000.0,Series A,2020
ShipsKart,2018.0,New Delhi,E-Commerce And Retail,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.","Dhruv Sawhney, Vivek Sahi, Sunny Bagla",Betatron,200000.0,Seed Round,2020
Financepeer,2017.0,Mumbai,Education And Learning,Financepeer is an AI based peer to peer lending platform.,"Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye","Ravi Sanghvi, PitchRight Venture",3000000.0,Series D1,2020
Cashify,2009.0,Gurugram,E-Commerce And Retail,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Amit Sethi, Mandeep Manocha, Nakul Kumar","Bessemer Venture Partners, CDH Investments",10000000.0,Early Seed,2020
Etrio,2017.0,Hyderabad,Energy And Environment,"Etrio is an electric vehicle company in India with tata ace electric, Electric Tata ace HT",Deepak MV,HNIs,3000000.0,Series A,2020
Codeyoung,2019.0,Bangalore,Education And Learning,Codeyoung provides live online coding classes for kids between the age of 5 - 17.,"Shailendra Dhakad, Rupika Taneja",Guild Capital,4000000.0,Seed,2020
StayQrious,2020.0,Bangalore,Education And Learning,"Live online coding courses with social learning. Build coding skills, confident communication and leadership skills with your very own coach.",Kshama Fernandes,Y Combinator,2000000.0,Seed,2020
Sunstone Eduversity,2014.0,Gurugram,Education And Learning,India's Only Business School That Offers MBA & PGDM Programs With 100% Placement Assurance.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari",Prime Venture Partners,3000000.0,Series A,2020
Infilect,2015.0,Bangalore,Technology And Software,Infilect Technologies specialises in visual content intelligence by parsing large-scale visual content such as photos and videos,Ankur Gupta,"Mela Ventures, 1Crowd",1500000.0,Series D1,2020
MobiGarage,2017.0,New Delhi,E-Commerce And Retail,An ecommerce platform for refurbished electronics.,"Vaibhav Kapoor, Pulkit Kapoor",Y Combinator,4000000.0,Bridge,2020
Samunnati,2014.0,Chennai,Agriculture And Technology,Samunnati is a financial service provider focused on agri value chains.,Anil Kumar,"responsAbility, Accel",20000000.0,Private Equity,2020
WeInnovate Biosolutions,2016.0,Pune,Technology And Software,Startup working dedicatedly in the area of healthcare-therapeutic solutions.,"Dr Milind Choudhari, Dr Prasad Bhagat, and Dr Anupama",Chiratae ventures,4000000.0,Seed,2020
Smallcase,2015.0,Bangalore,Finance,Smallcases are portfolios of stocks or ETFs created by India's top financial experts.,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","Sequoia Capital India, Blume Ventures",13400000.0,Series B,2020
Assiduus,2006.0,Bangalore,E-Commerce And Retail,"Assiduus leverages its eCommerce experience to help build, grow and scale your brand on various eCommerce platforms",Somdutta Singh,VC Firm K Partners,1000000.0,Series A,2020
AFK Gaming,2012.0,Mumbai,Technology And Software,AFK Gaming is a media and entertainment and gaming company located in Mumbai.,Nishant Patel,Tiger Global,200000.0,Series C,2020
mCaffeine,2015.0,Mumbai,Consumer Goods And Services,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.","Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital",2900000.0,Series B,2020
Origa,2013.0,Andheri,Finance,The charioteer of your growth at all times.,Shrirang Tambe,"500 Startups, ah! Ventures",2000000.0,Seed Round,2020
GullyBuy Software,2019.0,Pune,Technology And Software,To deliver a solution that will provide shopping convenience to every consumer in India,Shirish Deodhar,9Unicorns,543000.0,Series I,2020
Recordent,2019.0,Hyderabad,Finance,A technology-enabled platform that helps MSMEs to increase their business efficiency through collection of dues,Harish Mamtani,Sequoia Capital,4000000.0,Seed,2020
MPL,2018.0,Bangalore,Technology And Software,Mobile Premier League is the mobile e-Sports platform based in India.,"Shubham Malhotra, Sai Srinivas","Base Partners, GO Ventures",90000000.0,Series C,2020
Onsitego,2010.0,Mumbai,Consumer Goods And Services,Onsitego is a customer service company for device and appliance repairs.,Kunal Mahipal,"Accel, Zodius Capital",30000000.0,Series B,2020
ClanConnect,2017.0,Delhi,Marketing And Advertising,"AI-driven influencer marketing platform ClanConnect.ai, which helps brands make their campaigns more data and result-oriented","Kunal Kishore Sinha, Sagar Pushp",Sixth Sense Ventures,600000.0,Seed,2020
